Product Name;Lighting Type;Space Type;ATEX Certified;Power (W);Lumen Output;Image URL;Product Link
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;120 W;21000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-3PACK-view1.36_white.jpg;https://www.etaplighting.com/en/series/E8/E8063NHD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;100 W;18000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-3PACK-view1.36_white.jpg;https://www.etaplighting.com/en/series/E8/E8063NMD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;165 W;28000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-4PACK-view1.35_white.jpg;https://www.etaplighting.com/en/series/E8/E8064NHD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;135 W;24000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-4PACK-view1.35_white.jpg;https://www.etaplighting.com/en/series/E8/E8064NMD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;245 W;42000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-6PACK-view1_white.jpg;https://www.etaplighting.com/en/series/E8/E8066NHD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;205 W;36000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-6PACK-view1_white.jpg;https://www.etaplighting.com/en/series/E8/E8066NMD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;82 W;14000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-2PACK-view1.37_white.jpg;https://www.etaplighting.com/en/series/E8/E8262NHD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;57 W;10000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-2PACK-view1.37_white.jpg;https://www.etaplighting.com/en/series/E8/E8262NLD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;69 W;12000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-2PACK-view1.37_white.jpg;https://www.etaplighting.com/en/series/E8/E8262NMD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;120 W;21000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-3PACK-view1.36_white.jpg;https://www.etaplighting.com/en/series/E8/E8263NHD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;100 W;18000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-3PACK-view1.36_white.jpg;https://www.etaplighting.com/en/series/E8/E8263NMD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;165 W;28000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-4PACK-view1.35_white.jpg;https://www.etaplighting.com/en/series/E8/E8264NHD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;135 W;24000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-4PACK-view1.35_white.jpg;https://www.etaplighting.com/en/series/E8/E8264NMD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;245 W;42000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-6PACK-view1_white.jpg;https://www.etaplighting.com/en/series/E8/E8266NHD
Highbay with triangular design, with surge protection (LN/PE) 2kV/4kV.;Luminaires for high ceilings,High protection factor luminaires;Industry;;205 W;36000 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/E8 (SE8)/E8-6PACK-view1_white.jpg;https://www.etaplighting.com/en/series/E8/E8266NMD
;Portable Light;;;0 W;0 lm;;
"Large emergency luminaire for single or double sided signage.
";Emergency signage;Schools;;3 W;110 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KL1/KL1CMA.jpg;https://www.etaplighting.com/en/series/kl1-picto-xl/KL1426
"IP65 emergency luminaire with comfortable diffuse lighting. Surface mounted.
";Emergency escape lighting;Schools;;3 W;330 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K2 (SK2)/SK2010B1.jpg;https://www.etaplighting.com/en/series/K2-light/k2633s11
"Large emergency luminaire for single or double sided signage.
";Emergency signage;Schools;;3 W;110 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KL1/KL1CMA.jpg;https://www.etaplighting.com/en/series/kl1-picto-xl/KL146-230
"Large emergency luminaire for single or double sided signage.
";Emergency signage;Schools;;3 W;110 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KL1/KL1CMA.jpg;https://www.etaplighting.com/en/series/kl1-picto-xl/KL146-230C3
"Large emergency luminaire for single or double sided signage.
";Emergency signage;Schools;;3 W;110 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KL1/KL1CMA.jpg;https://www.etaplighting.com/en/series/kl1-picto-xl/KL146-230S20
"Large emergency luminaire for single or double sided signage.
";Emergency signage;Schools;;3 W;110 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KL1/KL1CMA.jpg;https://www.etaplighting.com/en/series/kl1-picto-xl/KL1426S2
"Large emergency luminaire for single or double sided signage.
";Emergency signage;Schools;;3 W;110 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KL1/KL1CMA.jpg;https://www.etaplighting.com/en/series/kl1-picto-xl/KL1426S4
"Large emergency luminaire for single or double sided signage.
";Emergency signage;Schools;;3 W;110 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KL1/KL1CMA.jpg;https://www.etaplighting.com/en/series/kl1-picto-xl/KL1436
"Large emergency luminaire for single or double sided signage.
";Emergency signage;Schools;;3 W;110 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KL1/KL1CMA.jpg;https://www.etaplighting.com/en/series/kl1-picto-xl/KL1436S2
"Large emergency luminaire for single or double sided signage.
";Emergency signage;Schools;;3 W;110 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KL1/KL1CMA.jpg;https://www.etaplighting.com/en/series/kl1-picto-xl/KL1456
"Large emergency luminaire for single or double sided signage.
";Emergency signage;Schools;;3 W;110 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/KL1/KL1CMA.jpg;https://www.etaplighting.com/en/series/kl1-picto-xl/KL1456S2
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBN1CHD
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBN1CHS
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBN2CHD
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBN2CHS
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBN3CHD
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBN3CHS
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBW1CHD
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBW1CHS
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBW2CHD
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBW2CHS
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBW3CHD
Linear downlight with round edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RBBW3CHS
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWN1CHD
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWN1CHS
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWN2CHD
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWN2CHS
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWN3CHD
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWN3CHS
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWW1CHD
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWW1CHS
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWW2CHD
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWW2CHS
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWW3CHD
Linear downlight with round edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6RWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6RWWW3CHS
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBN1CHD
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBN1CHS
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBN2CHD
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBN2CHS
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBN3CHD
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBN3CHS
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBW1CHD
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBW1CHS
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBW2CHD
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBW2CHS
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBW3CHD
Linear downlight with square edges, black housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SBB.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SBBW3CHS
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWN1CHD
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWN1CHS
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWN2CHD
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWN2CHS
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWN3CHD
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWN3CHS
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWW1CHD
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWW1CHS
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWW2CHD
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWW2CHS
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWW3CHD
Linear downlight with square edges, white housing.;Downlights;Toilets,Schools;;22 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/D7/D7R6SWW.jpg;https://www.etaplighting.com/en/series/tiar/D7R6SWWW3CHS
"Emergency luminaire for escape route lighting. Surface mounted.
";Emergency escape lighting;Industry;;3 W;320 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/K1 (SK1)/SK1010 - Fresnellens/SK1010A2.jpg;https://www.etaplighting.com/en/series/K1-light/k113n-230c3
Architectural light line luminaire.;Recessed luminaires;Schools;;23 W;2800 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN3M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;23 W;2800 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN3M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;23 W;2800 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN3M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;30 W;3750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN4M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;30 W;3750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN4M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;30 W;3750 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN4M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;37 W;4700 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN5M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;37 W;4700 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN5M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;37 W;4700 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN5M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;44 W;5600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN6M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;44 W;5600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN6M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;44 W;5600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MN6M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;23 W;2700 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW3M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;23 W;2700 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW3M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;23 W;2700 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW3M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;30 W;3600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW4M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;30 W;3600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW4M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;30 W;3600 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW4M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;37 W;4500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW5M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;37 W;4500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW5M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;37 W;4500 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW5M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;44 W;5350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW6M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;44 W;5350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW6M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;44 W;5350 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB10MW6M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;16 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN3M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;16 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN3M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;16 W;2200 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN3M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;21 W;2900 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN4M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;21 W;2900 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN4M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;21 W;2900 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN4M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;26 W;3650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN5M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;26 W;3650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN5M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;26 W;3650 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN5M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;31 W;4400 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN6M0D0X0
Architectural light line luminaire.;Recessed luminaires;Schools;;31 W;4400 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X1.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN6M0D0X1
Architectural light line luminaire.;Recessed luminaires;Schools;;31 W;4400 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X2.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MN6M0D0X2
Architectural light line luminaire.;Recessed luminaires;Schools;;16 W;2100 lm;https://pim.etaplighting.com/BLOB/Pictures/Product pictures/Ley/V3U/V3UB0X0.jpg;https://www.etaplighting.com/en/series/ley-v3/V3UB30MW3M0D0X0
